0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,
#,Does your business currently accept bitcoin?,Would you like to update or review the information in your listing?,Business Name: {{hidden_name}},Website: {{hidden_website}},Phone number: {{hidden_phone}},Street Address: {{hidden_address}},City: {{hidden_admin3name}},Primary Email: {{hidden_contact1email}},Any questions or other updates to make?,name,website,phone,address,admin3name,contact1email,listingurl,bitcoin,id,Start Date (UTC),Submit Date (UTC),Network ID,
505410c74421597d22741c07f2a546ab,1,0,,,,,,,,ZENTHREE,http://www.zenthree.com/,619-929-0443,330 A St Ste 159,San Diego,info@zenthree.com,https://airbitz.co/biz/3372?v=checkin,yes,3372,9/3/2015 4:04:08,9/3/2015 4:04:59,b54b33a03a,
225afa18c1411f0062ac5f33a382de35,1,0,,,,,,,,Veldt Gold,http://veldtgold.com/,877-576-7342,5002 Santa Fe St,San Diego,info@veldtgold.com,https://airbitz.co/biz/10200,yes,10200,9/3/2015 4:20:17,9/3/2015 4:21:28,e173f4c5f9,
4b6b84206cd7a33cfeb5b2cb5343aa3f,1,1,,,,"Basement, 199 Clarence Street",,,,Spawn Point Small Bar,http://www.spawnpoint.com.au/,,199 Clarence St,Sydney,info@spawnpoint.com.au,https://airbitz.co/biz/9576,yes,9576,9/3/2015 4:33:13,9/3/2015 4:34:03,0ac8b4ac0d,
b97036bffe3cf8683511f8674f8cb804,1,0,,,,,,,,WeMontage,https://wemontage.com/,347-277-4039,1009 Derby Ln,Neenah,james@wemontage.com,https://airbitz.co/biz/6018,yes,6018,9/3/2015 4:34:57,9/3/2015 4:35:08,ef351a81f6,
429fd57ea050a3afc526789700af6c76,1,1,,,250 383 4367,,,,,Hemp & Company,https://www.hempandcompany.com/,250-412-0880,1312 Government St,Victoria,info@hempandcompany.com,https://airbitz.co/biz/4087,yes,4087,9/3/2015 4:36:17,9/3/2015 4:37:45,c9ce4e9cb5,
280e750d9d1c57b35ba7e377beb6faa5,1,0,,,,,,,,Keep Your Assets,http://keepyourassets.net/,,,,support@keepyourassets.net,https://airbitz.co/biz/5031,yes,5031,9/3/2015 4:37:35,9/3/2015 4:38:25,2ec966de57,
79689920c35e2934f1a97081b4a22b53,1,0,,,,,,,,ScottWorld,http://www.scottworld.com/,323-954-1978,,Austin,s@scottworld.com,https://airbitz.co/biz/9433,yes,9433,9/3/2015 4:38:17,9/3/2015 4:38:28,c283508c9f,
f650eee2205347670f6b0b96e392d754,1,0,,,,,,,,Perth Champagne Club,http://www.perthchampagneclub.com,61861432602,Beaufort St,Perth,perthchampagneclub@gmail.com,https://airbitz.co/biz/2880,yes,2880,9/3/2015 4:45:28,9/3/2015 4:45:43,da66ef2ee6,
86ab2c47e3f1e637cdea07c090e56ff0,1,0,,,,,,,,Search Tempo,http://searchtempo.com.au,61731669622,2 Qualtrough St,Woolloongabba,sales@searchtempo.com,https://airbitz.co/biz/2719,yes,2719,9/3/2015 4:47:09,9/3/2015 4:47:25,a25101afef,
fb66cc6b8d84d2c0717a8f05cca5966f,1,1,,,,,,,,Cocoon Floatation,http://www.cocoonfloatation.com.au/,242443069,35A Bellevue Rd,Figtree,float@cocoonfloatation.com.au,https://airbitz.co/biz/9632,yes,9632,9/3/2015 4:48:36,9/3/2015 4:49:19,42d12e2846,
9857381aed2f8c8d926fbd307673d999,1,0,,,,,,,,Living Room of Satoshi,https://www.livingroomofsatoshi.com,,,,support@livingroomofsatoshi.com,https://airbitz.co/biz/6608,yes,6608,9/3/2015 4:53:10,9/3/2015 4:53:24,c9937ae1dc,
e2a6beecc538f5b4eb4c0a10214f7459,1,0,,,,,,,,newPOPart,http://www.newpopart.co/,41764388994,,,contact@newpopart.co,https://airbitz.co/biz/8685,yes,8685,9/3/2015 5:02:12,9/3/2015 5:02:31,ebeca9b3dc,
2c10967292c381504b2033bfc500bda6,1,0,,,,,,,,Gadgets Direct,http://www.gadgetsdirect.com.au/,22145417107,,,sales@gadgetsdirect.com.au,https://airbitz.co/biz/6873,yes,6873,9/3/2015 5:02:10,9/3/2015 5:02:33,c41dd782c2,
a1d6f505dcb41a958040ffdbd5c2eb45,1,0,,,,,,,,Serveraurus,https://serversaurus.com.au/,611300341877,,,support@serversaurus.com.au,https://airbitz.co/biz/6859,yes,6859,9/3/2015 5:04:10,9/3/2015 5:04:24,ff36ce167e,
